TDL2048-Demo
alpha = 0.1
total = 5000000
seed = 2689549431
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
1000	mean = 7727.33	max = 26968
	8192	9.9%	(9.9%)
106000	mean = 65719.7	max = 176324
	64	0.1%	(100%)
	256	0.4%	(99.9%)
	512	1.8%	(99.5%)
	1024	7.8%	(97.7%)
	2048	22.2%	(89.9%)
	4096	55.5%	(67.7%)
	8192	12.2%	(12.2%)
107000	mean = 65812.7	max = 167504
	256	0.3%	(100%)
	512	2%	(99.7%)
	1024	8.2%	(97.7%)
	2048	20.7%	(89.5%)
	4096	56.6%	(68.8%)
	8192	12.2%	(12.2%)
108000	mean = 64409.8	max = 175928
	256	0.1%	(100%)
	512	2.9%	(99.9%)
	1024	9.3%	(97%)
	2048	21.3%	(87.7%)
	4096	55.4%	(66.4%)
	8192	11%	(11%)
109000	mean = 65956.4	max = 177224
	256	0.3%	(100%)
	512	2.1%	(99.7%)
	1024	8%	(97.6%)
	2048	23.8%	(89.6%)
	4096	52.8%	(65.8%)
	8192	13%	(13%)
110000	mean = 66330.9	max = 174948
	256	0.3%	(100%)
	512	1.4%	(99.7%)
	1024	9.4%	(98.3%)
	2048	20.6%	(88.9%)
	4096	55.9%	(68.3%)
	8192	12.4%	(12.4%)
111000	mean = 67387.3	max = 172540
	256	0.1%	(100%)
	512	1.5%	(99.9%)
	1024	7.8%	(98.4%)
	2048	21%	(90.6%)
	4096	56.2%	(69.6%)
	8192	13.4%	(13.4%)
112000	mean = 67084.6	max = 174588
	256	0.2%	(100%)
	512	1.8%	(99.8%)
	1024	7.8%	(98%)
	2048	19.8%	(90.2%)
	4096	59.9%	(70.4%)
	8192	10.5%	(10.5%)
113000	mean = 65256.7	max = 179972
	256	0.5%	(100%)
	512	1.9%	(99.5%)
	1024	8.7%	(97.6%)
	2048	22.6%	(88.9%)
	4096	54.8%	(66.3%)
	8192	11.5%	(11.5%)
114000	mean = 66977.2	max = 176536
	64	0.1%	(100%)
	256	0.1%	(99.9%)
	512	2.5%	(99.8%)
	1024	7.5%	(97.3%)
	2048	21.1%	(89.8%)
	4096	56%	(68.7%)
	8192	12.7%	(12.7%)
115000	mean = 67079	max = 169668
	256	0.1%	(100%)
	512	2.3%	(99.9%)
	1024	6.2%	(97.6%)
	2048	23.2%	(91.4%)
	4096	55%	(68.2%)
	8192	13.2%	(13.2%)
116000	mean = 68303	max = 174136
	128	0.1%	(100%)
	256	0.3%	(99.9%)
	512	1.5%	(99.6%)
	1024	7%	(98.1%)
	2048	20.5%	(91.1%)
	4096	57.2%	(70.6%)
	8192	13.4%	(13.4%)
117000	mean = 67125.9	max = 167948
	256	0.5%	(100%)
	512	1.5%	(99.5%)
	1024	8.2%	(98%)
	2048	21.8%	(89.8%)
	4096	55.3%	(68%)
	8192	12.7%	(12.7%)
118000	mean = 71124.5	max = 178736
	64	0.1%	(100%)
	256	0.1%	(99.9%)
	512	0.8%	(99.8%)
	1024	7.8%	(99%)
	2048	19.9%	(91.2%)
	4096	54%	(71.3%)
	8192	17.3%	(17.3%)
119000	mean = 67087.4	max = 222576
	256	0.2%	(100%)
	512	1.5%	(99.8%)
	1024	7%	(98.3%)
	2048	22.6%	(91.3%)
	4096	56.4%	(68.7%)
	8192	12.2%	(12.3%)
	16384	0.1%	(0.1%)
120000	mean = 69811.1	max = 183772
	256	0.2%	(100%)
	512	1.2%	(99.8%)
	1024	7.3%	(98.6%)
